formatted_date,daily_sales_count,daily_redemption_count
2024-07-13,19681,19539
2024-07-14,12256,13490
2024-07-15,4077,3603
2024-07-16,3422,2190
2024-07-17,9029,8495
2024-07-18,10034,9334
2024-07-19,11857,11378
2024-07-20,16725,17790
2024-07-21,12745,13850
2024-07-22,9191,8956
2024-07-23,8736,8938
2024-07-24,4606,3646
2024-07-25,10657,10723
2024-07-26,11875,11820
2024-07-27,16715,17727
2024-07-28,14682,15256
2024-07-29,9204,9465
2024-07-30,5571,5010
2024-07-31,9041,8994
2024-08-01,8222,8022
2024-08-02,7102,6402
2024-08-03,12684,12525
2024-08-04,16444,17485
2024-08-05,14828,15098
2024-08-06,4787,3406
2024-08-07,12052,12020
2024-08-08,8057,9112
2024-08-09,5571,4201
2024-08-10,15456,16951
2024-08-11,8020,8010
2024-08-12,8775,8182
2024-08-13,9794,9319
2024-08-14,10893,11299
2024-08-15,10752,11149
2024-08-16,8294,7946
2024-08-17,5657,5785
2024-08-18,5957,6522
2024-08-19,5944,5712
2024-08-20,7858,7496
2024-08-21,9626,8749
2024-08-22,9742,9509
2024-08-23,10375,10283
2024-08-24,15132,16320
2024-08-25,13092,13474
2024-08-26,9545,9665
2024-08-27,9415,9137
2024-08-28,6812,6766
2024-08-29,9101,9211
2024-08-30,9621,9501
2024-08-31,13717,13731
2024-09-01,16340,17106
2024-09-02,10704,11323
2024-09-03,3240,3275
2024-09-04,3878,3466
2024-09-05,4446,4518
2024-09-06,1599,1255
2024-09-07,14589,14025
2024-09-08,5236,6853
2024-09-09,2039,1750
2024-09-10,3153,3169
2024-09-11,3090,3258
2024-09-12,3942,4127
2024-09-13,4893,4296
2024-09-14,9630,10427
2024-09-15,8309,9022
2024-09-16,4064,4029
2024-09-17,3132,3091
2024-09-18,3275,3307
2024-09-19,3695,3883
2024-09-20,3687,3949
